iteration,clock_source,vreg,divider,range,freqa,freqb,clock_freq
0,rosc,11,11,fa4,0777,0077,11038
0,rosc,11,11,fa4,0777,0777,12227
0,rosc,11,11,fa4,0777,7777,13147
0,rosc,11,11,fa4,7777,0007,11148
0,rosc,11,11,fa4,7777,0077,12243
0,rosc,11,11,fa4,7777,0777,13713
0,rosc,11,11,fa4,7777,7777,14883
0,rosc,11,11,fa5,0007,0007,11119
0,rosc,11,11,fa5,0007,0077,12328
0,rosc,11,11,fa5,0007,0777,12305
0,rosc,11,11,fa5,0007,7777,12312
0,rosc,11,11,fa5,0077,0007,12424
0,rosc,11,11,fa5,0077,0077,13946
0,rosc,11,11,fa5,0077,0777,13919
0,rosc,11,11,fa5,0077,7777,13915
0,rosc,11,11,fa5,0777,0007,13512
0,rosc,11,11,fa5,0777,0077,15354
0,rosc,11,11,fa5,0777,0777,15310
0,rosc,11,11,fa5,0777,7777,15309
0,rosc,11,11,fa5,7777,0007,15353
0,rosc,11,11,fa5,7777,0077,17783
0,rosc,11,11,fa5,7777,0777,17712
0,rosc,11,11,fa5,7777,7777,17713
0,rosc,11,11,fa7,0007,0007,14220
0,rosc,11,11,fa7,0007,0077,14229
0,rosc,11,11,fa7,0007,0777,14276
0,rosc,11,11,fa7,0007,7777,14248
0,rosc,11,11,fa7,0077,0007,16416
0,rosc,11,11,fa7,0077,0077,16458
0,rosc,11,11,fa7,0077,0777,16475
0,rosc,11,11,fa7,0077,7777,16501
0,rosc,11,11,fa7,0777,0007,18410
0,rosc,11,11,fa7,0777,0077,18447
0,rosc,11,11,fa7,0777,0777,18481
0,rosc,11,11,fa7,0777,7777,18494
0,rosc,11,11,fa7,7777,0007,22530
0,rosc,11,11,fa7,7777,0077,22558
0,rosc,11,11,fa7,7777,0777,22567
0,rosc,11,11,fa7,7777,7777,22575
0,rosc,11,11,fa6,0007,0007,22979
0,rosc,11,11,fa6,0007,0077,22925
0,rosc,11,11,fa6,0007,0777,22844
0,rosc,11,11,fa6,0007,7777,22818
0,rosc,11,11,fa6,0077,0007,30475
0,rosc,11,11,fa6,0077,0077,30455
0,rosc,11,11,fa6,0077,0777,30397
0,rosc,11,11,fa6,0077,7777,30402
0,rosc,11,11,fa6,0777,0007,30276
0,rosc,11,11,fa6,0777,0077,30198
0,rosc,11,11,fa6,0777,0777,30170
0,rosc,11,11,fa6,0777,7777,30153
0,rosc,11,11,fa6,7777,0007,30187
0,rosc,11,11,fa6,7777,0077,30159
0,rosc,11,11,fa6,7777,0777,30096
0,rosc,11,11,fa6,7777,7777,30013
0,rosc,11,16,fa4,0007,0007,6005
0,rosc,11,16,fa4,0007,0077,6457
0,rosc,11,16,fa4,0007,0777,7031
0,rosc,11,16,fa4,0007,7777,7472
0,rosc,11,16,fa4,0077,0007,6536
0,rosc,11,16,fa4,0077,0077,7080
0,rosc,11,16,fa4,0077,0777,7782
0,rosc,11,16,fa4,0077,7777,8319
0,rosc,11,16,fa4,0777,0007,6972
0,rosc,11,16,fa4,0777,0077,7591
0,rosc,11,16,fa4,0777,0777,8403
0,rosc,11,16,fa4,0777,7777,9031
0,rosc,11,16,fa4,7777,0007,7666
0,rosc,11,16,fa4,7777,0077,8414
0,rosc,11,16,fa4,7777,0777,9434
0,rosc,11,16,fa4,7777,7777,10237
0,rosc,11,16,fa5,0007,0007,7646
0,rosc,11,16,fa5,0007,0077,8487
0,rosc,11,16,fa5,0007,0777,8466
0,rosc,11,16,fa5,0007,7777,8461
0,rosc,11,16,fa5,0077,0007,8538
0,rosc,11,16,fa5,0077,0077,9591
0,rosc,11,16,fa5,0077,0777,9572
0,rosc,11,16,fa5,0077,7777,9571
0,rosc,11,16,fa5,0777,0007,9302
0,rosc,11,16,fa5,0777,0077,10563
0,rosc,11,16,fa5,0777,0777,10526
0,rosc,11,16,fa5,0777,7777,10533
0,rosc,11,16,fa5,7777,0007,10558
0,rosc,11,16,fa5,7777,0077,12217
0,rosc,11,16,fa5,7777,0777,12180
0,rosc,11,16,fa5,7777,7777,12184
0,rosc,11,16,fa7,0007,0007,9777
0,rosc,11,16,fa7,0007,0077,9784
0,rosc,11,16,fa7,0007,0777,9812
0,rosc,11,16,fa7,0007,7777,9816
0,rosc,11,16,fa7,0077,0007,11286
0,rosc,11,16,fa7,0077,0077,11324
0,rosc,11,16,fa7,0077,0777,11355
0,rosc,11,16,fa7,0077,7777,11339
0,rosc,11,16,fa7,0777,0007,12653
0,rosc,11,16,fa7,0777,0077,12685
0,rosc,11,16,fa7,0777,0777,12720
0,rosc,11,16,fa7,0777,7777,12726
0,rosc,11,16,fa7,7777,0007,15504
0,rosc,11,16,fa7,7777,0077,15496
0,rosc,11,16,fa7,7777,0777,15511
0,rosc,11,16,fa7,7777,7777,15518
0,rosc,11,16,fa6,0007,0007,15783
