vreg,divider,range,freqa,freqb,clock_freq
11,01,fa4,0577,0007,113256
11,01,fa4,0577,0017,119829
11,01,fa4,0577,0037,122089
11,01,fa4,0577,0057,121931
11,01,fa4,0577,0077,123196
11,01,fa4,0577,0177,131596
11,01,fa4,0577,0377,134492
11,01,fa4,0577,0577,134567
11,01,fa4,0577,0777,136063
11,01,fa4,0577,1777,142359
11,01,fa4,0577,3777,144600
11,01,fa4,0577,5777,144921
11,01,fa4,0577,7777,145968
11,01,fa4,0777,0001,111982
11,01,fa4,0777,0003,113351
11,01,fa4,0777,0005,113496
11,01,fa4,0777,0007,114009
11,01,fa4,0777,0017,120691
11,01,fa4,0777,0037,122956
11,01,fa4,0777,0057,122807
11,01,fa4,0777,0077,124105
11,01,fa4,0777,0177,132592
11,01,fa4,0777,0377,135547
11,01,fa4,0777,0577,135641
11,01,fa4,0777,0777,137156
11,01,fa4,0777,1777,143569
11,01,fa4,0777,3777,145823
11,01,fa4,0777,5777,146132
11,01,fa4,0777,7777,147206
11,01,fa4,1777,0001,118274
11,01,fa4,1777,0003,120058
11,01,fa4,1777,0005,120101
11,01,fa4,1777,0007,120924
11,01,fa4,1777,0017,128446
11,01,fa4,1777,0037,130998
11,01,fa4,1777,0057,130839
11,01,fa4,1777,0077,132268
11,01,fa4,1777,0177,142011
11,01,fa4,1777,0377,145355
11,01,fa4,1777,0577,145523
11,01,fa4,1777,0777,147250
11,01,fa4,1777,1777,154649
11,01,fa4,1777,3777,157287
11,01,fa4,1777,5777,157667
11,01,fa4,1777,7777,158927
11,01,fa4,3777,0001,120676
11,01,fa4,3777,0003,122599
11,01,fa4,3777,0005,122693
11,01,fa4,3777,0007,123589
11,01,fa4,3777,0017,131421
11,01,fa4,3777,0037,134170
11,01,fa4,3777,0057,133981
11,01,fa4,3777,0077,135467
11,01,fa4,3777,0177,145737
11,01,fa4,3777,0377,149255
11,01,fa4,3777,0577,149418
11,01,fa4,3777,0777,151161
11,01,fa4,3777,1777,159007
11,01,fa4,3777,3777,161815
