iteration_num,expe_num,validation_result,clock_freq,current_sample,power_sample,energy_sample,shunt_voltage_sample,bus_voltage_sample,current_timestamp,timing_sample
0,0,,,1.0873794555664062,5.731201171875,0.23437500000000006,0.011704062500000001,5.2705078125,0.036,
0,0,,,1.5605926513671875,8.223876953125,0.42968750000000006,0.011704062500000001,5.2705078125,0.07,
0,0,,,1.0797500610351562,5.6915283203125,0.6152343750000001,0.00809875,5.271484375,0.104,
0,0,,,1.099205017089844,5.793457031250001,0.8105468750000001,0.008243750000000001,5.2712890625,0.138,
0,0,,,1.099205017089844,5.793457031250001,1.015625,0.008243750000000001,5.2712890625,0.172,
0,0,,,1.12152099609375,5.911254882812501,1.220703125,0.0084115625,5.27109375,0.206,
0,0,,,1.1236190795898438,5.923461914062501,1.4257812500000002,0.008427812500000001,5.271484375,0.24,
0,0,,,1.1236190795898438,5.923461914062501,1.6113281250000002,0.008427812500000001,5.271484375,0.274,
0,0,,,1.11236572265625,5.863647460937501,1.806640625,0.0083434375,5.271484375,0.308,
0,0,,,1.1003494262695312,5.800170898437501,2.01171875,0.0082534375,5.271484375,0.342,
0,0,,,1.1003494262695312,5.800170898437501,2.2167968750000004,0.0082534375,5.271484375,0.376,
0,0,,,1.0961532592773438,5.777587890625001,2.392578125,0.0082209375,5.2712890625,0.41,
0,0,,,1.0980606079101562,5.787963867187501,2.59765625,0.0082359375,5.27109375,0.444,
0,0,,,1.0980606079101562,5.787963867187501,2.8027343750000004,0.0082359375,5.27109375,0.478,
0,0,,,1.1072158813476562,5.835571289062501,2.9980468750000004,0.00830375,5.2712890625,0.512,
0,0,,,1.1066436767578125,5.833129882812501,3.203125000000001,0.0083,5.27109375,0.546,
0,0,,,1.1066436767578125,5.833129882812501,3.3886718750000004,0.0083,5.27109375,0.58,
0,0,,,1.1053085327148438,5.8258056640625,3.5839843750000004,0.008290625000000001,5.27109375,0.614,
0,0,,,1.1041641235351562,5.820312500000001,3.789062500000001,0.008282187500000001,5.2712890625,0.648,
0,0,,,1.1041641235351562,5.820312500000001,3.994140625000001,0.008282187500000001,5.2712890625,0.682,
0,0,,,1.1026382446289062,5.812377929687501,4.238281250000001,0.0082703125,5.27109375,0.723,
0,0,,,1.1056900024414062,5.828247070312501,4.414062500000001,0.008292500000000001,5.271484375,0.757,
0,0,,,1.1056900024414062,5.828247070312501,4.609375000000001,0.008215,5.271484375,0.791,
0,0,,,1.095390319824219,5.773925781250001,4.814453125000001,0.008215,5.271484375,0.825,
0,0,,,1.0923385620117188,5.757446289062501,5.019531250000001,0.0081925,5.27109375,0.859,
0,0,,,1.0923385620117188,5.757446289062501,5.205078125000001,0.008516562500000002,5.271484375,0.893,
0,0,,,1.1354446411132815,5.985107421875,5.410156250000001,0.008516562500000002,5.271484375,0.927,
0,0,,,1.1022567749023438,5.809936523437501,5.605468750000001,0.0082671875,5.27109375,0.961,
0,0,,,1.1022567749023438,5.809936523437501,5.810546875,0.008218125000000001,5.271484375,0.995,
0,0,,,1.0957717895507812,5.775756835937501,6.005859375,0.008218125000000001,5.271484375,1.029,
0,0,,,1.103019714355469,5.8135986328125,6.191406250000001,0.0082728125,5.27109375,1.063,
0,0,,,1.103019714355469,5.792236328125,6.396484375000001,0.0082425,5.27109375,1.097,
0,0,,,1.0990142822265625,5.792236328125,6.582031250000001,0.0082425,5.27109375,1.131,
0,0,,,1.0683059692382812,5.6304931640625,6.787109375,0.008011875,5.2712890625,1.165,
0,0,,,1.0746002197265625,5.663452148437501,6.962890625,0.008059375,5.2708984375000005,1.199,
0,0,,,1.0746002197265625,5.663452148437501,7.167968750000001,0.008059375,5.2708984375000005,1.233,
0,0,,,1.143646240234375,6.02783203125,7.382812500000002,0.008577187500000001,5.27109375,1.267,
0,0,,,1.1112213134765625,5.857543945312501,7.578125000000002,0.008335,5.271484375,1.301,
0,0,,,1.1112213134765625,5.857543945312501,7.773437500000001,0.008335,5.271484375,1.335,
0,0,,,1.1426925659179688,6.02294921875,7.978515625,0.008570312500000002,5.2712890625,1.369,
0,0,,,1.094818115234375,5.770263671875001,8.173828125000002,0.008211875,5.270703125000001,1.403,
0,0,,,1.094818115234375,5.770263671875001,8.378906250000002,0.008211875,5.270703125000001,1.437,
0,0,,,1.1041641235351562,5.819702148437501,8.583984375000002,0.0082809375,5.2712890625,1.471,
0,0,,,1.1499404907226562,6.060791015625001,8.779296875,0.008624375,5.27109375,1.505,
0,0,,,1.1499404907226562,6.060791015625001,8.984375000000002,0.008624375,5.27109375,1.539,
0,0,,,1.1333465576171875,5.974121093750001,9.1796875,0.008500937500000002,5.271484375,1.573,
0,0,,,1.091766357421875,5.755004882812501,9.384765625000002,0.00818875,5.271484375,1.607,
0,0,,,1.091766357421875,5.755004882812501,9.5703125,0.00818875,5.271484375,1.641,
0,0,,,1.09100341796875,5.750732421875001,9.765625,0.0081821875,5.271484375,1.675,
0,0,,,1.1142730712890625,5.873413085937501,9.970703125,0.0083575,5.271679687500001,1.709,
0,0,,,1.1142730712890625,5.873413085937501,10.166015625000002,0.0083575,5.271679687500001,1.744,
0,0,,,1.0782241821289065,5.682983398437501,10.371093750000002,0.0080865625,5.271484375,1.778,
0,0,,,1.1154174804687502,5.879516601562501,10.56640625,0.008365625000000002,5.271484375,1.812,
0,0,,,1.1154174804687502,5.879516601562501,10.751953125000002,0.008365625000000002,5.271484375,1.846,
0,0,,,1.1011123657226565,5.803833007812501,10.95703125,0.008258125,5.271679687500001,1.88,
0,0,,,1.0957717895507812,5.775146484375,11.152343750000002,0.0082190625,5.270703125000001,1.914,
0,0,,,1.0957717895507812,5.775146484375,11.357421875000002,0.0082190625,5.270703125000001,1.948,
0,0,,,1.1135101318359377,5.869140625000001,11.54296875,0.0083509375,5.271484375,1.982,
0,0,,,1.108551025390625,5.843505859375001,11.738281250000002,0.008314687500000001,5.271484375,2.016,
0,0,,,1.108551025390625,5.843505859375001,11.943359375000002,0.008314687500000001,5.271484375,2.05,
0,0,,,1.0934829711914065,5.764160156250001,12.138671875000002,0.00820125,5.2712890625,2.084,
0,0,,,1.0799407958984375,5.692749023437501,12.324218750000002,0.008100000000000001,5.271484375,2.118,
0,0,,,1.0799407958984375,5.692749023437501,12.529296875000002,0.008100000000000001,5.27109375,2.152,
0,0,,,1.1119842529296875,5.861816406250001,12.724609375000002,0.008340625,5.27109375,2.186,
0,0,,,1.064872741699219,5.613403320312501,12.919921875000002,0.007987187500000001,5.2712890625,2.22,
0,0,,,1.064872741699219,5.613403320312501,13.125000000000002,0.007987187500000001,5.271484375,2.253,
0,0,,,1.0911941528320312,5.751953125000001,13.300781250000004,0.00818375,5.271484375,2.288,
0,0,,,1.1247634887695312,5.927734375,13.505859375000002,0.0084353125,5.27109375,2.322,
0,0,,,1.1247634887695312,5.927734375,13.710937500000002,0.0081753125,5.2708984375000005,2.356,
0,0,,,1.0900497436523438,5.745239257812501,13.916015625,0.0081753125,5.2708984375000005,2.389,
0,0,,,1.1430740356445315,6.025390625000001,14.101562500000002,0.008573750000000002,5.271484375,2.423,
0,0,,,1.1430740356445315,6.025390625000001,14.296875,0.008281875000000001,5.2712890625,2.457,
0,0,,,1.1041641235351562,5.820312500000001,14.51171875,0.008281875000000001,5.2712890625,2.491,
0,0,,,1.1205673217773438,5.906372070312501,14.716796875000002,0.008404375,5.271484375,2.525,
0,0,,,1.1205673217773438,5.906372070312501,14.90234375,0.008451875000000001,5.271679687500001,2.56,
0,0,,,1.1268615722656252,5.939941406250001,15.097656250000002,0.008451875000000001,5.271679687500001,2.593,
0,0,,,1.0906219482421877,5.74951171875,15.302734375000002,0.0081803125,5.271484375,2.628,
0,0,,,1.0906219482421877,5.74951171875,15.498046875000004,0.008124375000000001,5.271679687500001,2.661,
0,0,,,1.0831832885742188,5.709838867187501,15.712890625,0.008124375000000001,5.271679687500001,2.695,
0,0,,,1.129150390625,5.9515380859375,15.888671875000004,0.0084684375,5.271484375,2.729,
0,0,,,1.1333465576171875,5.9735107421875,16.09375,0.0084996875,5.27109375,2.764,
0,0,,,1.1333465576171875,5.9735107421875,16.298828125,0.0084996875,5.27109375,2.798,
0,0,,,1.1007308959960938,5.802001953125,16.494140625,0.0082553125,5.271484375,2.832,
0,0,,,1.093292236328125,5.762939453125001,16.69921875,0.0081996875,5.271484375,2.866,
0,0,,,1.093292236328125,5.762939453125001,16.904296875000004,0.0081996875,5.271484375,2.9,
0,0,,,1.09405517578125,5.767211914062501,17.08984375,0.00820625,5.27109375,2.934,
0,0,,,1.1140823364257812,5.872802734375001,17.28515625,0.0083559375,5.2712890625,2.968,
