iteration_num,expe_num,validation_result,clock_freq,current_sample,current_timestamp,timing_sample
0,0,,,13.385772705078125,0.003,
0,0,,,7.1826934814453125,0.03,
0,0,,,7.1826934814453125,0.056,
0,0,,,3.9237976074218754,0.083,
0,0,,,3.9237976074218754,0.11,
0,0,,,3.9199829101562504,0.137,
0,0,,,3.9199829101562504,0.163,
0,0,,,3.9237976074218754,0.19,
0,0,,,3.9237976074218754,0.216,
0,0,,,3.9302825927734375,0.243,
0,0,,,3.9302825927734375,0.269,
0,0,,,3.9127349853515625,0.296,
0,0,,,3.9127349853515625,0.322,
0,0,,,3.9310455322265625,0.349,
0,0,,,3.9310455322265625,0.375,
0,0,,,3.9127349853515625,0.402,
0,0,,,3.9123535156250004,0.429,
0,0,,,3.9123535156250004,0.455,
0,0,,,3.91693115234375,0.482,
0,0,,,3.91693115234375,0.508,
0,0,,,3.9196014404296875,0.535,
0,0,,,3.9196014404296875,0.561,
0,0,,,3.894805908203125,0.588,
0,0,,,3.894805908203125,0.614,
0,0,,,3.9237976074218754,0.641,
0,0,,,3.9237976074218754,0.667,
0,0,,,3.9028167724609375,0.694,
0,0,,,3.9028167724609375,0.721,
0,0,,,3.9119720458984375,0.747,
0,0,,,3.9119720458984375,0.774,
0,0,,,3.928375244140625,0.8,
0,0,,,3.928375244140625,0.827,
0,0,,,3.922271728515625,0.853,
0,0,,,3.922271728515625,0.88,
0,0,,,3.9089202880859375,0.906,
0,0,,,3.9043426513671875,0.933,
0,0,,,3.9043426513671875,0.959,
0,0,,,3.9318084716796875,0.986,
0,0,,,3.9318084716796875,1.013,
0,0,,,3.91693115234375,1.039,
0,0,,,3.91693115234375,1.066,
0,0,,,3.9081573486328125,1.092,
0,0,,,3.9081573486328125,1.119,
0,0,,,3.929519653320313,1.145,
0,0,,,3.929519653320313,1.172,
0,0,,,3.9012908935546875,1.199,
0,0,,,3.9012908935546875,1.225,
0,0,,,3.9150238037109375,1.252,
0,0,,,3.9150238037109375,1.278,
0,0,,,3.9016723632812504,1.305,
0,0,,,3.9016723632812504,1.331,
0,0,,,3.893280029296875,1.358,
0,0,,,3.893280029296875,1.384,
0,0,,,3.9054870605468754,1.411,
0,0,,,3.9054870605468754,1.437,
0,0,,,3.925323486328125,1.464,
0,0,,,3.921127319335938,1.491,
0,0,,,3.921127319335938,1.517,
0,0,,,3.907012939453125,1.544,
0,0,,,3.907012939453125,1.57,
0,0,,,3.914260864257813,1.597,
0,0,,,3.914260864257813,1.623,
0,0,,,3.9077758789062504,1.65,
0,0,,,3.9077758789062504,1.676,
0,0,,,3.9161682128906254,1.703,
0,0,,,3.9161682128906254,1.729,
0,0,,,3.90472412109375,1.756,
0,0,,,3.90472412109375,1.783,
0,0,,,3.9123535156250004,1.809,
0,0,,,3.9123535156250004,1.836,
0,0,,,3.9165496826171875,1.862,
0,0,,,3.9165496826171875,1.889,
0,0,,,3.910064697265625,1.915,
0,0,,,3.910064697265625,1.942,
0,0,,,3.9123535156250004,1.968,
0,0,,,3.910446166992188,1.995,
0,0,,,3.910446166992188,2.021,
0,0,,,3.90472412109375,2.048,
0,0,,,3.90472412109375,2.075,
0,0,,,3.903579711914063,2.101,
0,0,,,3.903579711914063,2.128,
0,0,,,3.9073944091796875,2.154,
0,0,,,3.9073944091796875,2.181,
0,0,,,3.913116455078125,2.207,
