0,0,30240000,7,11111
1,2,28419000,5,11111
2,0,50401000,7,11111
3,2,47780000,5,11111
4,0,109714000,7,11111
5,2,109358000,7,11111
6,0,130000000,7,11111
7,2,128177000,8,11111
8,0,150001000,7,11111
9,2,147645000,9,11111
0,0,30240000,7,11111
1,2,28353000,5,11111
2,0,50401000,7,11111
3,2,47800000,5,11111
4,0,109715000,7,11111
5,2,109291000,7,11111
6,0,130000000,7,11111
7,2,128153000,8,11111
8,0,150000000,7,11111
9,2,147621000,9,11111
0,0,30240000,7,11111
1,2,28378000,5,11111
2,0,50400000,7,11111
3,2,47794000,5,11111
4,0,54857000,7,11111
5,2,109263000,7,11111
6,0,130001000,7,11111
7,2,128174000,8,11111
8,0,150000000,7,11111
