iteration_num,clock_source,vreg,lposc_trim,rosc_div,rosc_range,rosc_freqa,rosc_freqb,pll_vco,pll_div,benchmark_name,validation_result,clock_freq,current_sample,current_timestamp,timing_sample
0,rosc,11,,05,fa4,7777,0577,,,noop,,,3.810882568359375,0.013,
0,rosc,11,,05,fa4,7777,0577,,,noop,,,3.810882568359375,0.04,
0,rosc,11,,05,fa4,7777,0577,,,noop,,,3.871536254882813,0.066,
0,rosc,11,,05,fa4,7777,0577,,,noop,,,3.871536254882813,0.093,
0,rosc,11,,05,fa4,7777,0577,,,noop,,,3.9039611816406254,0.119,
0,rosc,11,,05,fa4,7777,0577,,,noop,,,3.8928985595703125,0.146,
0,rosc,11,,05,fa4,7777,0577,,,noop,,,3.8928985595703125,0.173,
0,rosc,11,,05,fa4,7777,0577,,,noop,,,3.876876831054688,0.199,
0,rosc,11,,05,fa4,7777,0577,,,noop,,,3.876876831054688,0.226,
0,rosc,11,,05,fa4,7777,0577,,,noop,,,3.91387939453125,0.252,
0,rosc,11,,05,fa4,7777,0577,,,noop,,,3.91387939453125,0.279,
0,rosc,11,,05,fa4,7777,0577,,,noop,,,3.899383544921875,0.305,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.899383544921875,0.332,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.8516998291015625,0.359,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.8516998291015625,0.385,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.7982940673828125,0.412,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.7982940673828125,0.438,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.7975311279296875,0.465,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.7975311279296875,0.491,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.8013458251953125,0.518,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.8013458251953125,0.544,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.7906646728515625,0.571,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.7906646728515625,0.598,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.7841796875,0.624,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.796768188476563,0.651,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.796768188476563,0.677,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.7998199462890625,0.704,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.7998199462890625,0.73,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.7960052490234375,0.757,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.7960052490234375,0.783,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.783798217773438,0.81,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.783798217773438,0.837,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.8051605224609375,0.863,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.8051605224609375,0.89,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.789138793945313,0.916,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.789138793945313,0.943,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.7986755371093754,0.969,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.7986755371093754,0.996,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.8059234619140625,1.022,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.8059234619140625,1.049,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.8291931152343754,1.076,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.8291931152343754,1.102,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.7994384765625,1.129,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.7944793701171875,1.155,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.7944793701171875,1.182,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.79638671875,1.209,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.79638671875,1.236,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.810882568359375,1.262,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.810882568359375,1.289,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.795623779296875,1.315,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.795623779296875,1.342,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.7986755371093754,1.368,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.7986755371093754,1.395,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.7944793701171875,1.422,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.7944793701171875,1.448,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.8242340087890625,1.475,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.8242340087890625,1.501,
0,rosc,11,,05,fa4,7777,0577,,,prime,,,3.796768188476563,1.528,
